Words,Count
champagne,197
screaming,200
bill,247
lift,253
givin,234
thugs,322
thick,266
chick,556
wasnt,562
stress,198
kinda,393
rush,220
enough,1032
repeat,254
joe,465
funky,389
pressure,193
queens,197
finally,210
each,416
bye,248
loving,238
happened,282
along,253
lonely,229
bottles,326
breath,280
mary,361
mall,220
smell,334
deserve,212
ahead,322
above,248
wind,200
insane,261
feelings,300
makes,373
share,216
pride,221
sense,217
el,194
dat,356
felt,336
rhyme,801
rough,240
raised,245
pen,253
dogg,425
giving,267
salt,201
shame,210
dust,188
running,557
na,350
blew,181
savage,290
wants,233
claim,197
touch,734
bar,297
tomorrow,227
album,283
slim,340
gat,234
weak,291
nasty,288
knows,482
jealous,196
suckers,205
wow,374
someone,383
window,363
flight,187
shady,189
maybe,846
hits,231
laugh,245
sweet,421
bam,208
ross,301
special,291
choose,232
squeeze,205
steel,189
fear,415
ll,186
flex,274
finish,200
raps,187
comes,580
heat,471
soulja,331
hat,192
stage,285
thinking,541
far,627
heres,319
arm,214
mic,871
grand,220
lyrics,275
afraid,249
steal,181
jeezy,336
tony,182
21,518
hill,212
dumb,535
sample,310
anyway,197
method,284
shook,191
produced,503
mirror,268
heavy,269
hello,378
holding,211
bless,202
ayo,352
feels,312
whether,202
rings,214
fingers,204
dre,209
songs,216
busta,346
does,321
pipe,238
microphone,255
beef,525
eminem,262
joint,221
mi,225
mcs,210
rza,244
spread,191
bass,319
blessed,212
def,293
jam,353
flavor,249
ti,254
tongue,277
says,210
island,225
brooklyn,268
moving,307
meant,263
bus,213
reach,279
building,241
poor,210
nowhere,218
judge,267
small,263
nation,187
lane,207
moment,273
near,203
common,248
against,446
kanye,465
bright,181
text,201
faith,209
wine,208
thoughts,305
list,191
dmc,213
sean,362
yup,403
meek,238
cardi,223
tyler,247
knowledge,203
diddy,208
message,193
kendrick,359
lamar,325
andré,196
3000,211
mark,192
chainz,251
juicy,401
missy,312
rep,243
creator,218
lame,197
swae,301
dab,185
trippy,218
heads,193
ghostface,206
killah,193
cam,224
raekwon,201
twista,227
jadakiss,203
q-tip,202
q,255
apes,183
nelly,259
schoolboy,198
n9ne,245
